Имя груза;Код товара;Товар;Тип товара;Статус;ПО;УП;Заказ;Документ клиента;Ячейка;Реальная ячейка;Упак.;Вн.упак.;Вид упаковки;К-во коробок;Кол-во;Дата произв-ва;Срок годн.;Объем (м3);Вес;Фактический вес;Категория;Маркер;Серийный номер;Товарная партия
P6443742;XPXRPL7040-100;"XPXRPL7040-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 70% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889927;S5-17-05-5;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
B25119020;XPCSB8860-100;"XPCSB8860-100 Самоклеющаяся защитная пленка XPEL PRIME CS Black 88% 60"" x 100";Не задан;Отобран;262688;313020;823165;ЦБ-00000342;ОТГРУЖЕНО;ОТГРУЖЕНО;Кор-1ед-15x158x14;Шт-1ед-15x158x14;B240;1;1;16.04.2021 00:00;;        ,0300;       8,0000;       8,0000;Норма;-;-;-,0102676174457
P6443807;M6001;M6001 Настенный информационный дисплей Wall Board Display CS Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443794;M6006;M6006 Настенный информационный дисплей Wall Board Display XR Plus;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443790;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
P6443811;R1340-4;Гель для нанесения пленки XPEL Paint Protection Film Installation Gel 4 Liter (Арт. R1340-4);Не задан;Отобран;262688;313020;837785;ЦБ-00000342;C918773;ОТГРУЖЕНО;Шт-1ед-13x16x26;Не задано;Не задан;0;80;16.04.2021 00:00;;        ,4300;     328,0000;     328,0000;Брак;-;-;-,0102676174457
P6546133;R1340-4;Гель для нанесения пленки XPEL Paint Protection Film Installation Gel 4 Liter (Арт. R1340-4);Не задан;Доступен;262688;313020;0;ЦБ-00000342;S5-20-15-2;S5-20-15-2;Пал-16кор-83x125x105;Кор-4ед-27x37x30;PE1L;2;8;16.04.2021 00:00;;        ,0600;      48,8000;      32,8000;Норма;-;-;-,0102676174457
P6443801;XPF60US50;Самоклеющаяся защитная пленка XPEL STEALTH Paint Protection Film 60?x50? (Арт. XPF60US50);Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889911;NG-01-1;Кор-1ед-20x158x20;Шт-1ед-20x158x20;B240;9;9;16.04.2021 00:00;;        ,5700;      97,2000;      97,2000;Норма;-;-;-,0102676174457
P6443802;XUP60-50;XUP60-50 Самоклеющаяся защитная пленка XPEL Ultimate Plus Protection Film 60?x50;Не задан;Отобран;262688;313020;822859;ЦБ-00000342;C905900;ОТГРУЖЕНО;Кор-1ед-20x158x20;Шт-1ед-20x158x20;B240;6;6;16.04.2021 00:00;;        ,3800;      63,0000;      63,0000;Норма;-;-;-,0102676174457
P6443835;XHF30S5-20;"XHF30S5-20 Самоклеющаяся защитная пленка XPEL Slate Headlight Film 50% (30""x20 ) (Арт. XHF30S5-20)";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C899461;S5-18-06-4;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;12;12;16.04.2021 00:00;;        ,3600;      30,7200;      30,7200;Норма;-;-;-,0102676174457
P6443747;XHF30SS50;"XHF30SS50 Самоклеющаяся защитная пленка XPEL Slate Smoke Headlight Film 30""x50";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C899462;S5-15-04-4;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;3;3;16.04.2021 00:00;;        ,0900;      13,8000;      13,8000;Норма;-;-;-,0102676174457
B25123984;M3067;M3067 Буклет с образцами защитной пленки XR Plus Sample Book;Не задан;Отобран;262688;313020;829757;ЦБ-00000342;C913176;ОТГРУЖЕНО;Шт-1ед-12x19x2;Не задано;Не задан;0;2;16.04.2021 00:00;;        ,0000;        ,3600;        ,3600;Норма;-;-;-,0102676174457
P6443806;M6001;M6001 Настенный информационный дисплей Wall Board Display CS Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443791;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
P6443784;M4033;M4033 Баннер настенный PRIME XR Wall Banner;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Шт-1ед-19x96x19;Не задано;Не задан;0;3;16.04.2021 00:00;;        ,1000;       8,7000;       8,7000;Норма;-;-;-,0102676174457
B25123766;M4033;M4033 Баннер настенный PRIME XR Wall Banner;Не задан;Отобран;262688;313020;827483;ЦБ-00000342;C911326;ОТГРУЖЕНО;Шт-1ед-19x96x19;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,9000;       2,9000;Норма;-;-;-,0102676174457
B25115839;XUP60-50;XUP60-50 Самоклеющаяся защитная пленка XPEL Ultimate Plus Protection Film 60?x50;Не задан;Отобран;262688;313020;821085;ЦБ-00000342;C907371;ОТГРУЖЕНО;Кор-1ед-20x158x20;Шт-1ед-20x158x20;B240;1;1;16.04.2021 00:00;;        ,0600;      10,5000;      10,5000;Норма;-;-;-,0102676174457
P6443812;R1364;R1364 Жидкое керамическое покрытие FUSION PLUS Ceramic Coating (Арт. R1364);Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889924;S5-18-05-5;Кор-1ед-12x19x2;Шт-1ед-12x19x2;B20;20;20;16.04.2021 00:00;;        ,0100;       6,0000;       6,0000;Норма;-;-;-,0102676174457
P6443782;M6044;M6044 Баннер XPEL ULTIMATE PLUS WALL BANNER (3 X6 ) (Арт. M6044);Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Шт-1ед-19x97x3;Не задано;Не задан;0;7;16.04.2021 00:00;;        ,0400;       7,0000;       7,0000;Норма;-;-;-,0102676174457
P6443818;XPHPB5060-100;"XPHPB5060-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 50% 60"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889910;S5-23-23-3;Кор-1ед-13x157x15;Шт-1ед-13x157x15;B240;2;2;16.04.2021 00:00;;        ,0600;      14,2000;      14,2000;Норма;-;-;-,0102676174457
B25118358;XPXRB3540-100;"XPXRB3540-100 Самоклеющаяся защитная пленка XPEL PRIME XR Black Nano-Ceramic 35% 40"" x 100";Не задан;Отобран;262688;313020;822859;ЦБ-00000342;C905900;ОТГРУЖЕНО;Кор-1ед-15x108x14;Шт-1ед-15x108x14;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
P6443815;M3067;M3067 Буклет с образцами защитной пленки XR Plus Sample Book;Не задан;Отобран;262688;313020;834390;ЦБ-00000342;ОТГРУЖЕНО;ОТГРУЖЕНО;Шт-1ед-12x19x2;Не задано;Не задан;0;2;16.04.2021 00:00;;        ,0000;        ,3600;        ,3600;Норма;-;-;-,0102676174457
P6443754;XPCSB8860-100;"XPCSB8860-100 Самоклеющаяся защитная пленка XPEL PRIME CS Black 88% 60"" x 100";Не задан;Отобран;262688;313020;824269;ЦБ-00000342;ОТГРУЖЕНО;ОТГРУЖЕНО;Кор-1ед-15x158x14;Шт-1ед-15x158x14;B240;2;2;16.04.2021 00:00;;        ,0700;      16,0000;      16,0000;Норма;-;-;-,0102676174457
P6443787;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
