Имя груза;Код товара;Товар;Тип товара;Статус;ПО;УП;Заказ;Документ клиента;Ячейка;Реальная ячейка;Упак.;Вн.упак.;Вид упаковки;К-во коробок;Кол-во;Дата произв-ва;Срок годн.;Объем (м3);Вес;Фактический вес;Категория;Маркер;Серийный номер;Товарная партия
P6443738;XPXRPL0540-100;"XPXRPL0540-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 5% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889927;S5-17-05-5;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
P6443741;XPXRB0540-100;"XPXRB0540-100 Самоклеющаяся защитная пленка XPEL PRIME XR Black Nano-Ceramic 5% 40"" x 100";Не задан;Отобран;262688;313020;822859;ЦБ-00000342;C905900;ОТГРУЖЕНО;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
B25123955;XPXRPL7040-100;"XPXRPL7040-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 70% 40"" x 100";Не задан;Отобран;262688;313020;829756;ЦБ-00000342;C913175;ОТГРУЖЕНО;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
P6443833;XHF30S3-50;"XHF30S3-50 Самоклеющаяся защитная пленка XPEL Slate 35 Headlight Film 30""x50";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889926;S5-17-16-6;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;1;1;16.04.2021 00:00;;        ,0300;       4,6000;       4,6000;Норма;-;-;-,0102676174457
P6443824;XPXRB3540-100;"XPXRB3540-100 Самоклеющаяся защитная пленка XPEL PRIME XR Black Nano-Ceramic 35% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Кор-1ед-15x108x14;Шт-1ед-15x108x14;B120;2;2;16.04.2021 00:00;;        ,0500;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443814;M3063;M3063 Буклет с образцами защитной пленки CS Black Sample Book;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889924;S5-18-05-5;Шт-1ед-12x19x2;Не задано;Не задан;0;33;16.04.2021 00:00;;        ,0200;       5,9400;       5,9400;Норма;-;-;-,0102676174457
P6443793;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
P6443737;XPXRB2040-100;"XPXRB2040-100 Самоклеющаяся тонировочная пленка XPEL PRIME XR Black Nano-Ceramic 20% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889927;S5-17-05-5;Кор-1ед-110x15x13;Шт-1ед-13x15x110;B120;4;4;16.04.2021 00:00;;        ,0900;      20,0000;      20,0000;Норма;-;-;-,0102676174457
P6443749;XPCSB0540-100;"XPCSB0540-100 Самоклеющаяся защитная пленка XPEL PRIME Color Stable Black 5% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;4;4;16.04.2021 00:00;;        ,0800;      20,0000;      20,0000;Норма;-;-;-,0102676174457
P6443836;XHF30S3-20;"XHF30S3-20 Самоклеющаяся защитная пленка XPEL Slate Headlight Film 35% (30""x20 ) (Арт. XHF30S3-20)";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C899462;S5-15-04-4;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;8;8;16.04.2021 00:00;;        ,2400;      20,4800;      20,4800;Норма;-;-;-,0102676174457
P6443834;XHF30SS20;"XHF30SS20 Самоклеющаяся защитная пленка XPEL Slate Smoke Headlight Film 25% (30""x20 )";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889926;S5-17-16-6;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;8;8;16.04.2021 00:00;;        ,2400;      20,4800;      20,4800;Норма;-;-;-,0102676174457
P6443827;XPHPB3540-100;"XPHPB3540-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 35% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443828;XPHPB5040-100;"XPHPB5040-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 50% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x108x13;Шт-1ед-15x108x13;B120;1;1;16.04.2021 00:00;;        ,0200;       5,0000;       5,0000;Норма;-;-;-,0102676174457
P6443799;M6004;M6004 Настенный информационный дисплей Wall Board Display XR Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
B25121872;R1340-20;R1340-20 Гель для нанесения пленки XPEL Paint Protection Film Installation Gel 20 Liter;Не задан;Отобран;262688;313020;825590;ЦБ-00000342;ОТГРУЖЕНО;ОТГРУЖЕНО;Шт-1ед-20x26x43;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0200;      20,0000;      20,0000;Норма;-;-;-,0102676174457
B25140398;XPF60US50;Самоклеющаяся защитная пленка XPEL STEALTH Paint Protection Film 60?x50? (Арт. XPF60US50);Не задан;Отобран;262688;313020;844444;ЦБ-00000342;C924454;ОТГРУЖЕНО;Кор-1ед-20x158x20;Шт-1ед-20x158x20;B240;1;1;16.04.2021 00:00;;        ,0600;      10,8000;      10,8000;Норма;-;-;-,0102676174457
